report_id,date,state,lga,community,category,description,severity_1to5,urgency_1to5,num_affected_est,evidence_type,evidence_confidence,verification_status,ai_confidence,risk_score,response_status,resolution_date,reporter_anonymous,is_demo_data
LMP-00101,2026-06-11,Kano,Dala,Dala Community 4,Education/Infrastructure,"Public school roof collapsed during the storm, 2 pupils now learn under a tree.",2,5,3000,photo,0.9,Needs Corroboration,0.92,14.4,Referred to Authority,,True,True
LMP-00102,2026-07-21,Rivers,Obio-Akpor,Obio-Akpor Community 7,Water Infrastructure,"Contractors abandoned the water scheme project midway, pipes are left exposed on the road.",3,2,40,text_only,0.5,High-Confidence,0.75,1.2,Referred to Authority,,True,True
LMP-00103,2026-07-13,Plateau,Jos South,Jos South Community 1,Community Dispute,Youths from two neighbouring communities clashed over grazing route access.,1,1,600,photo,0.9,Unverified,0.86,0.6,Referred to Authority,,True,True
LMP-00104,2026-04-28,Rivers,Port Harcourt,Port Harcourt Community 6,Suspected Misuse of Public Funds,Road rehabilitation project was marked complete in official records but no visible work was done.,3,4,3000,text_only,0.5,Unverified,0.91,9.6,In Progress,,True,True
LMP-00105,2026-07-19,Kaduna,Kaduna North,Kaduna North Community 1,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 7 months ago.,4,5,3000,photo,0.9,Unverified,0.89,28.8,Under Review,,True,True
LMP-00106,2026-05-13,Oyo,Ibadan South-West,Ibadan South-West Community 2,Safety/Security Concern,"Unknown persons have been seen surveying the area at night, residents are afraid.",4,4,600,none,0.3,Needs Corroboration,0.8,3.1,Resolved,2026-06-04,True,True
LMP-00107,2026-06-26,Plateau,Jos North,Jos North Community 7,Abuse/Protection Concern,A vulnerable community member is reportedly being denied access to support services by a local intermediary.,4,1,600,text_only,0.5,Corroborated,0.73,1.3,Under Review,,False,True
LMP-00108,2026-02-10,Oyo,Ibadan South-West,Ibadan South-West Community 1,Safety/Security Concern,"Unknown persons have been seen surveying the area at night, residents are afraid.",5,1,40,text_only,0.5,Needs Corroboration,0.77,1.0,In Progress,,True,True
LMP-00109,2026-08-31,Rivers,Ikwerre,Ikwerre Community 8,Water Infrastructure,My community has not had water for 3 weeks and the borehole project announced last year has not been completed.,4,3,600,voice_note,0.7,Corroborated,0.82,5.4,Referred to Authority,,True,True
LMP-00110,2026-08-22,Oyo,Ibadan South-West,Ibadan South-West Community 2,Abuse/Protection Concern,A vulnerable community member is reportedly being denied access to support services by a local intermediary.,4,3,150,none,0.3,Unverified,0.63,1.7,Referred to Authority,,True,True
LMP-00111,2026-09-05,Kaduna,Kaduna South,Kaduna South Community 8,Healthcare Access,"Community clinic promised in March has still not been built, pregnant women travel far for care.",3,1,3000,photo,0.9,High-Confidence,0.88,4.3,In Progress,,True,True
LMP-00112,2026-07-22,Oyo,Egbeda,Egbeda Community 2,Suspected Misuse of Public Funds,Road rehabilitation project was marked complete in official records but no visible work was done.,3,2,600,text_only,0.5,Unverified,0.66,1.9,No Action Yet,,False,True
LMP-00113,2026-07-16,Lagos,Ajeromi-Ifelodun,Ajeromi-Ifelodun Community 9,Abuse/Protection Concern,Reports of a minor being kept out of school for exploitative labour in the local market.,3,1,40,voice_note,0.7,Corroborated,0.98,0.9,Referred to Authority,,False,True
LMP-00114,2026-09-05,Cross River,Calabar Municipal,Calabar Municipal Community 3,Safety/Security Concern,"There have been 9 reported cases of armed robbery on this road at night, no police patrol has been seen.",5,3,80,video,0.95,Corroborated,0.9,6.2,No Action Yet,,True,True
LMP-00115,2026-02-20,Plateau,Barkin Ladi,Barkin Ladi Community 1,Electricity/Power,We have had no electricity supply for 6 days despite paying our estimated bills.,2,2,600,none,0.3,Unverified,0.81,0.8,No Action Yet,,True,True
LMP-00116,2026-08-25,Rivers,Ikwerre,Ikwerre Community 5,Abuse/Protection Concern,A vulnerable community member is reportedly being denied access to support services by a local intermediary.,3,5,80,photo,0.9,High-Confidence,0.84,5.8,Under Review,,True,True
LMP-00117,2026-05-04,Lagos,Ikeja,Ikeja Community 1,Abuse/Protection Concern,Reports of a minor being kept out of school for exploitative labour in the local market.,5,4,15,text_only,0.5,Unverified,0.85,4.1,Resolved,2026-05-24,False,True
LMP-00118,2026-08-09,Kaduna,Kaduna South,Kaduna South Community 2,Water Infrastructure,My community has not had water for 9 weeks and the borehole project announced last year has not been completed.,3,2,600,text_only,0.5,Corroborated,0.73,1.9,In Progress,,True,True
LMP-00119,2026-06-07,Plateau,Jos North,Jos North Community 6,Suspected Misuse of Public Funds,"A borehole project budgeted at a stated amount was completed but does not function, community wants transparency.",2,3,3000,photo,0.9,Unverified,0.65,8.6,Under Review,,False,True
